Name,Description
gc,Interface to the cycle-detecting garbage collector.
getopt,Portable parser for command line options; support both short and long option names.
getpass,Portable reading of passwords and retrieval of the userid.
gettext,Multilingual internationalization services.
glob,Unix shell style pathname pattern expansion.
grp(Unix),The group database (getgrnam() and friends).
gzip,Interfaces for gzip compression and decompression using file objects.
hashlib,Secure hash and message digest algorithms.
heapq,Heap queue algorithm (a.k.a. priority queue).
hmac,Keyed-Hashing for Message Authentication (HMAC) implementation
.html,Helpers for manipulating HTML.
.http,HTTP status codes and messages
imaplib,IMAP4 protocol client (requires sockets).
imghdr,Determine the type of image contained in a file or byte stream.
importlib,The implementation of the import machinery.
inspect,Extract information and source code from live objects.
io,Core tools for working with streams.
ipaddress,IPv4/IPv6 manipulation library.
itertools,Functions creating iterators for efficient looping.
.json,Encode and decode the JSON format
keyword,Test whether a string is a keyword in Python.
lib2to3,the 2to3 library
linecache,This module provides random access to individual lines from text files.
locale,Internationalization services.
logging,Flexible event logging system for applications.
lzma,A Python wrapper for the liblzma compression library.
macpath,Mac OS 9 path manipulation functions.
mailbox,Manipulate mailboxes in various formats
mailcap,Mailcap file handling.
marshal,Convert Python objects to streams of bytes and back (with different constraints).
math,Mathematical functions (sin() etc.).
mimetypes,Mapping of filename extensions to MIME types.
mmap,Interface to memory-mapped files for Unix and Windows.
modulefinder,Find modules used by a script.
mslib(windows),"Creation of Microsoft Installer files, and CAB files."
msvcrt(windows),Miscellaneous useful routines from the MS VC++ runtime.
.multiprocessing,Process-based parallelism.
netrc,Loading of .netrc files.
nis(Unix),Interface to Sun's NIS (Yellow Pages) library.
nntplib,NNTP protocol client (requires sockets).
numbers,"Numeric abstract base classes (Complex, Real, Integral, etc.)."
operator,Functions corresponding to the standard operators.
.os,Miscellaneous operating system interfaces.
"ossaudiodev(Linux, FreeBSD)",Access to OSS-compatible audio devices.
parser,Access parse trees for Python source code.
pathlib,Object-oriented filesystem paths
pdb,The Python debugger for interactive interpreters.
pickle,Convert Python objects to streams of bytes and back.
pickletools,"Contains extensive comments about the pickle protocols and pickle-machine opcodes, as well as some useful functions."
pipes(Unix),A Python interface to Unix shell pipelines.
pkgutil,Utilities for the import system.
platform,pkgutil
plistlib,Generate and parse Mac OS X plist files.
poplib,POP3 protocol client (requires sockets).
posix(Umix,The most common POSIX system calls (normally used via module os).
pprint,Data pretty printer
profile,Python source profiler.
pstats,Statistics object for use with the profiler
pty(Linux),Pseudo-Terminal Handling for Linux.
pwd(Unix),The password database (getpwnam() and friends).
py_compile,Generate byte-code files from Python source files.
pyclbr,Supports information extraction for a Python class browser.
pydoc,Documentation generator and online help system.
queue,A synchronized queue class.
quopri,Encode and decode files using the MIME quoted-printable encoding.
random,Generate pseudo-random numbers with various common distributions.
re,Regular expression operations.
readline(Unix),GNU readline support for Python.
reprlib,Alternate repr() implementation with size limits.
resource(Unix),An interface to provide resource usage information on the current process.
rlcompleter,"Python identifier completion, suitable for the GNU readline library."
runpy,Locate and run Python modules without importing them first.
sched,General purpose event scheduler.
secrets,Generate secure random numbers for managing secrets.
select,Wait for I/O completion on multiple streams.
selectors,High-level I/O multiplexing.
shelve,Python object persistence.
shlex,Simple lexical analysis for Unix shell-like languages.
shutil,"High-level file operations, including copying."
signal,Set handlers for asynchronous events.
site,Module responsible for site-specific configuration.
smtpd,A SMTP server implementation in Python.
smtplib,SMTP protocol client (requires sockets).
sndhdr,Determine type of a sound file.
socket,Low-level networking interface
socketserver,A framework for network servers.
spwd(Unix),The shadow password database (getspnam() and friends).
sqlite3,A DB-API 2.0 implementation using SQLite 3.x.
ssl,TLS/SSL wrapper for socket objects
stat,"Utilities for interpreting the results of os.stat(), os.lstat() and os.fstat()."
statistics,mathematical statistics functions
string,Common string operations.
stringprep,"String preparation, as per RFC 3453"
struct,Interpret bytes as packed binary data.
subprocess,Subprocess management.
sunau,Provide an interface to the Sun AU sound format.
symbol,Constants representing internal nodes of the parse tree.
symtable,Interface to the compiler's internal symbol tables.
sys,Access system-specific parameters and functions.
sysconfig,Python's configuration information
syslog(Unix),An interface to the Unix syslog library routines.
